Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,JobDuration,JobDurationMonth
0,1,0,2.0,3.0,3.8,0.16,124,4.133333333333334
1,1,1,1.0,2.0,5.0,0.36,63,2.1
1,1,1,1.0,1.0,2.6,0.2,90,3.0
0,1,0,3.0,7.0,6.9,0.52,192,6.4
1,0,1,2.0,4.0,3.6,0.29,67,2.2333333333333334
0,1,0,3.0,6.0,7.9,0.62,396,13.2
0,1,1,2.0,4.0,4.4,0.33,93,3.1
1,0,1,2.0,3.0,5.3,0.5,322,10.733333333333333
1,1,1,0.0,1.0,1.8,0.12,265,8.833333333333334
1,0,1,1.0,3.0,5.8,0.51,263,8.766666666666667
0,1,1,3.0,5.0,4.7,0.32,364,12.133333333333333
1,1,1,1.0,2.0,5.9,0.39,321,10.7
1,1,0,3.0,6.0,6.7,0.59,310,10.333333333333334
0,0,1,2.0,4.0,4.0,0.22,248,8.266666666666667
1,0,0,2.0,4.0,7.6,0.57,154,5.133333333333334
1,1,1,1.0,3.0,6.3,0.47,383,12.766666666666667
1,1,1,1.0,3.0,6.7,0.46,273,9.1
1,1,0,2.0,4.0,6.6,0.44,113,3.7666666666666666
0,1,0,2.0,4.0,7.4,0.6,136,4.533333333333333
0,1,0,2.0,5.0,6.7,0.46,138,4.6
0,0,1,1.0,2.0,3.6,0.2,265,8.833333333333334
0,1,1,1.0,2.0,3.9,0.2,47,1.5666666666666667
0,1,0,0.0,1.0,3.0,0.19,113,3.7666666666666666
1,1,0,1.0,3.0,4.7,0.31,328,10.933333333333334
1,0,0,4.0,8.0,8.7,0.81,274,9.133333333333333
1,1,1,3.0,5.0,4.4,0.39,181,6.033333333333333
0,1,1,3.0,6.0,5.8,0.42,185,6.166666666666667
0,0,1,0.0,2.0,3.9,0.19,229,7.633333333333334
0,1,1,3.0,7.0,6.6,0.56,279,9.3
0,1,0,4.0,7.0,7.3,0.53,94,3.1333333333333333
0,0,1,1.0,3.0,5.4,0.33,224,7.466666666666667
1,1,0,2.0,5.0,5.0,0.45,349,11.633333333333333
0,1,1,2.0,3.0,6.0,0.36,222,7.4
0,1,1,3.0,6.0,7.5,0.59,55,1.8333333333333333
1,1,0,4.0,10.0,10.0,0.94,296,9.866666666666667
0,0,1,1.0,3.0,6.0,0.37,157,5.233333333333333
1,1,0,2.0,6.0,7.4,0.65,317,10.566666666666666
0,1,1,2.0,5.0,6.4,0.49,194,6.466666666666667
1,1,1,1.0,3.0,5.6,0.38,375,12.5
1,0,0,2.0,5.0,7.4,0.62,115,3.8333333333333335
0,0,1,3.0,5.0,6.1,0.39,144,4.8
0,0,1,2.0,4.0,3.1,0.15,251,8.366666666666667
1,1,0,2.0,5.0,8.0,0.61,41,1.3666666666666667
0,0,0,1.0,2.0,4.0,0.26,299,9.966666666666667
0,1,0,2.0,2.0,3.6,0.28,41,1.3666666666666667
1,0,1,2.0,5.0,8.7,0.71,342,11.4
0,1,0,3.0,5.0,6.8,0.57,390,13.0
0,1,1,2.0,3.0,4.9,0.39,73,2.433333333333333
0,0,0,3.0,6.0,7.9,0.61,143,4.766666666666667
1,0,0,3.0,6.0,7.6,0.62,235,7.833333333333333
0,1,0,5.0,9.0,9.2,0.8,339,11.3
1,1,1,4.0,6.0,6.5,0.63,274,9.133333333333333
0,1,0,3.0,5.0,6.8,0.6,165,5.5
0,0,0,4.0,8.0,8.7,0.79,106,3.533333333333333
1,1,1,2.0,5.0,6.2,0.39,171,5.7
0,1,0,3.0,5.0,5.8,0.36,390,13.0
0,0,0,2.0,4.0,6.6,0.5,199,6.633333333333334
1,0,0,4.0,7.0,8.2,0.72,143,4.766666666666667
0,1,1,2.0,3.0,4.9,0.34,211,7.033333333333333
0,1,0,1.0,2.0,4.1,0.27,363,12.1
1,1,0,3.0,7.0,7.4,0.66,184,6.133333333333334
1,1,1,1.0,2.0,4.4,0.27,256,8.533333333333333
0,1,0,2.0,6.0,6.9,0.67,67,2.2333333333333334
0,0,1,1.0,2.0,5.3,0.38,103,3.433333333333333
0,1,1,2.0,2.0,4.3,0.28,319,10.633333333333333
1,0,1,0.0,1.0,0.8,0.05,127,4.233333333333333
0,1,1,2.0,4.0,2.9,0.22,310,10.333333333333334
0,1,1,1.0,3.0,5.0,0.39,326,10.866666666666667
1,1,1,1.0,4.0,6.9,0.52,257,8.566666666666666
0,1,0,3.0,5.0,4.7,0.39,137,4.566666666666666
0,1,0,1.0,3.0,2.0,0.11,354,11.8
0,1,0,2.0,4.0,5.4,0.44,135,4.5
1,0,0,2.0,5.0,6.1,0.5,213,7.1
0,0,1,1.0,4.0,5.1,0.41,97,3.2333333333333334
0,1,1,3.0,5.0,4.7,0.43,292,9.733333333333333
1,1,1,3.0,5.0,5.4,0.46,98,3.2666666666666666
0,1,0,4.0,7.0,9.1,0.85,367,12.233333333333333
1,1,1,1.0,3.0,5.0,0.35,395,13.166666666666666
1,0,0,1.0,1.0,0.0,0.0,325,10.833333333333334
1,0,1,2.0,4.0,4.3,0.34,311,10.366666666666667
0,0,0,2.0,5.0,5.7,0.55,113,3.7666666666666666
1,1,1,4.0,6.0,6.8,0.62,78,2.6
1,1,0,3.0,6.0,7.6,0.72,168,5.6
1,0,1,3.0,8.0,8.3,0.71,63,2.1
0,0,0,1.0,3.0,5.5,0.39,177,5.9
0,1,0,1.0,3.0,5.3,0.48,218,7.266666666666667
0,1,0,3.0,7.0,8.0,0.7,271,9.033333333333333
1,1,1,4.0,6.0,6.4,0.56,46,1.5333333333333334
0,1,1,1.0,3.0,3.6,0.27,146,4.866666666666666
